fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.090097,3.41956,4.73267,0.069144,22.7764,33.7566,43.2795,0.025143,
0.075779,3.48493,4.68678,0.0711,32.046,22.9294,40.3262,0.023328,
0.074522,3.65535,4.20906,0.057969,20.3625,32.1866,40.5138,0.020883,
0.064185,3.65283,4.74245,0.067817,44.9955,20.5007,40.023,0.019906,
0.065513,4.45951,4.542,0.059087,40.5206,45.1269,33.0093,0.021512,
0.090097,3.91062,4.63405,0.078642,26.246,40.6965,34.3333,0.048819,
0.09736,3.78749,4.71982,0.069982,27.3449,26.4205,23.4642,0.043372,
0.087163,4.13929,4.55192,0.069703,31.3605,27.508,32.7696,0.027099,
0.099037,4.80118,3.85007,0.074801,31.0491,31.5414,20.7717,0.037157,
0.086674,3.90343,4.93046,0.067817,33.9256,31.2108,45.675,0.022279,
0.0711,3.73839,4.65968,0.06649,38.063,34.0702,41.3156,0.023327,
